sample,classification,taxid,taxon_name,contig_count,total_bp,percent_contigs,percent_bp
Onset,C,287,Pseudomonas aeruginosa,39,1894482,4.803,23.542
Onset,C,1147787,Pseudomonas aeruginosa PAO1H2O,7,1544424,0.8621,19.1919
Onset,C,798130,Pseudomonas aeruginosa 39016,7,1490754,0.8621,18.525
Onset,C,1304,Streptococcus salivarius,507,1150084,62.4384,14.2916
Onset,C,1280938,Pseudomonas aeruginosa B136-33,2,752643,0.2463,9.3528
Onset,C,1352354,Pseudomonas aeruginosa PAO581,2,425763,0.2463,5.2908
Onset,C,347253,Streptococcus salivarius JIM8777,76,217447,9.3596,2.7021
Onset,C,1009714,Pseudomonas aeruginosa PAK,1,116176,0.1232,1.4437
Onset,C,1046629,Streptococcus salivarius 57.I,25,67234,3.0788,0.8355
Onset,C,1048332,Streptococcus salivarius CCHSS3,26,63701,3.202,0.7916
Onset,C,1193501,Pseudomonas aeruginosa SJTD-1,1,59909,0.1232,0.7445
Onset,C,,Host-classified,36,53154,4.4335,0.6605
Onset,C,1415629,Pseudomonas aeruginosa MTB-1,1,48129,0.1232,0.5981
Onset,C,1301,Streptococcus,28,44634,3.4483,0.5546
Onset,C,1839799,Streptococcus sp. FDAARGOS_192,16,33529,1.9704,0.4167
Onset,C,1316411,Streptococcus sp. HSISS2,8,17583,0.9852,0.2185
Onset,C,2954545,Streptococcus sp. FSL W7-1342,4,10558,0.4926,0.1312
Onset,C,1343,Streptococcus vestibularis,4,8883,0.4926,0.1104
Onset,C,1316412,Streptococcus sp. HSISS3,4,8687,0.4926,0.1079
Onset,C,2975324,Streptococcus sp. FSL R7-0248,4,7109,0.4926,0.0883
Onset,C,1308,Streptococcus thermophilus,3,5842,0.3695,0.0726
Onset,C,2,Bacteria,1,5527,0.1232,0.0687
Onset,C,1114965,Streptococcus parasanguinis FW213,1,3825,0.1232,0.0475
Onset,C,2610896,Streptococcus sp. LPB0220,1,3607,0.1232,0.0448
Onset,C,2608887,unclassified Streptococcus,1,2962,0.1232,0.0368
Onset,C,113107,Streptococcus australis,1,2849,0.1232,0.0354
Onset,C,1334,Streptococcus dysgalactiae,1,1832,0.1232,0.0228
Onset,C,150055,Streptococcus lutetiensis,1,1459,0.1232,0.0181
Onset,C,286,Pseudomonas,1,1160,0.1232,0.0144
Onset,C,3074854,Streptococcus sp. SN-1,1,1135,0.1232,0.0141
Onset,C,2954513,Streptococcus sp. FSL K6-1323,1,1127,0.1232,0.014
Onset,C,3098075,Streptococcus dentalis,1,1042,0.1232,0.0129
Resolution,C,287,Pseudomonas aeruginosa,2043,5638863,82.3458,88.3417
Resolution,C,286,Pseudomonas,191,318901,7.6985,4.9961
Resolution,C,1338,Streptococcus intermedius,109,139150,4.3934,2.18
Resolution,C,1147787,Pseudomonas aeruginosa PAO1H2O,13,47230,0.524,0.7399
Resolution,C,862967,Streptococcus intermedius B196,30,40177,1.2092,0.6294
Resolution,C,798130,Pseudomonas aeruginosa 39016,9,31264,0.3628,0.4898
Resolution,C,862966,Streptococcus intermedius C270,19,29689,0.7658,0.4651
Resolution,C,136841,Pseudomonas aeruginosa group,11,18985,0.4434,0.2974
Resolution,C,1280938,Pseudomonas aeruginosa B136-33,3,10719,0.1209,0.1679
Resolution,C,1427342,Pseudomonas aeruginosa SCV20265,1,10599,0.0403,0.1661
Resolution,C,1408271,Pseudomonas aeruginosa LES400,1,7167,0.0403,0.1123
Resolution,C,1448140,Pseudomonas aeruginosa YL84,3,7024,0.1209,0.11
Resolution,C,76857,Fusobacterium polymorphum,5,5775,0.2015,0.0905
Resolution,C,2,Bacteria,1,5527,0.0403,0.0866
Resolution,C,208964,Pseudomonas aeruginosa PAO1,1,4363,0.0403,0.0684
Resolution,C,1089456,Pseudomonas aeruginosa NCGM2.S1,2,4324,0.0806,0.0677
Resolution,C,1193501,Pseudomonas aeruginosa SJTD-1,1,4284,0.0403,0.0671
Resolution,C,1352354,Pseudomonas aeruginosa PAO581,2,3961,0.0806,0.0621
Resolution,C,1009714,Pseudomonas aeruginosa PAK,1,3946,0.0403,0.0618
Resolution,C,1415629,Pseudomonas aeruginosa MTB-1,2,3943,0.0806,0.0618
Resolution,U,0,Unclassified,3,3511,0.1209,0.055
Resolution,C,2763068,Streptococcus sp. NSJ-72,2,3135,0.0806,0.0491
Resolution,C,2895495,Pseudomonas sp. B21-056,1,2788,0.0403,0.0437
Resolution,C,76860,Streptococcus constellatus,2,2517,0.0806,0.0394
Resolution,C,652611,Pseudomonas aeruginosa PA14,2,2493,0.0806,0.0391
Resolution,C,2078786,Pseudomonas inefficax,1,2323,0.0403,0.0364
Resolution,C,2983246,Pseudomonas sp. SO81,1,2158,0.0403,0.0338
Resolution,C,1352355,Pseudomonas aeruginosa c7447m,1,2125,0.0403,0.0333
Resolution,C,1318,Streptococcus parasanguinis,2,2105,0.0806,0.033
Resolution,C,2762576,Pseudomonas baltica,1,2096,0.0403,0.0328
Resolution,C,2653853,Pseudomonas sp. SCB32,1,1987,0.0403,0.0311
Resolution,C,1457392,Pseudomonas aeruginosa PA96,1,1951,0.0403,0.0306
Resolution,C,2448482,Pseudomonas leptonychotis,1,1628,0.0403,0.0255
Resolution,C,47885,Pseudomonas oryzihabitans,1,1436,0.0403,0.0225
Resolution,C,2598457,Streptococcus sp. KS 6,1,1379,0.0403,0.0216
Resolution,C,1081927,Pseudomonas aeruginosa PA103,1,1281,0.0403,0.0201
Resolution,C,75692,Pseudomonas sp. 273,1,1238,0.0403,0.0194
Resolution,C,2781599,Streptococcus oriscaviae,1,1225,0.0403,0.0192
Resolution,C,1304,Streptococcus salivarius,1,1189,0.0403,0.0186
Resolution,C,862970,Streptococcus anginosus C1051,1,1158,0.0403,0.0181
Resolution,C,29465,Veillonella,1,1121,0.0403,0.0176
Resolution,C,1114965,Streptococcus parasanguinis FW213,1,1118,0.0403,0.0175
Resolution,C,760570,Streptococcus parasanguinis ATCC 15912,1,1068,0.0403,0.0167
Resolution,C,1309,Streptococcus mutans,1,1057,0.0403,0.0166
Resolution,C,2663009,Fusobacterium pseudoperiodonticum,1,1026,0.0403,0.0161
Resolution,C,1301,Streptococcus,1,1011,0.0403,0.0158
Resolution,C,251654,Pseudomonas syringae pv. helianthi,1,1002,0.0403,0.0157
