sample,percent,clade_contigs,direct_contigs,rank,taxid,taxon_name
Onset,100.0,812,0,R,1,root
Onset,100.0,812,0,R1,131567,cellular organisms
Onset,95.57,776,1,R2,2,Bacteria
Onset,87.93,714,0,K,1783272,Bacillati
Onset,87.93,714,0,P,1239,Bacillota
Onset,87.93,714,0,C,91061,Bacilli
Onset,87.93,714,0,O,186826,Lactobacillales
Onset,87.93,714,0,F,1300,Streptococcaceae
Onset,87.93,714,28,G,1301,Streptococcus
Onset,78.08,634,507,S,1304,Streptococcus salivarius
Onset,9.36,76,76,S1,347253,Streptococcus salivarius JIM8777
Onset,3.2,26,26,S1,1048332,Streptococcus salivarius CCHSS3
Onset,3.08,25,25,S1,1046629,Streptococcus salivarius 57.I
Onset,4.93,40,1,G1,2608887,unclassified Streptococcus
Onset,1.97,16,16,S,1839799,Streptococcus sp. FDAARGOS_192
Onset,0.99,8,8,S,1316411,Streptococcus sp. HSISS2
Onset,0.49,4,4,S,2975324,Streptococcus sp. FSL R7-0248
Onset,0.49,4,4,S,2954545,Streptococcus sp. FSL W7-1342
Onset,0.49,4,4,S,1316412,Streptococcus sp. HSISS3
Onset,0.12,1,1,S,2954513,Streptococcus sp. FSL K6-1323
Onset,0.12,1,1,S,2610896,Streptococcus sp. LPB0220
Onset,0.12,1,1,S,3074854,Streptococcus sp. SN-1
Onset,0.49,4,4,S,1343,Streptococcus vestibularis
Onset,0.37,3,3,S,1308,Streptococcus thermophilus
Onset,0.12,1,1,S,3098075,Streptococcus dentalis
Onset,0.12,1,1,S,150055,Streptococcus lutetiensis
Onset,0.12,1,0,G1,119603,Streptococcus dysgalactiae group
Onset,0.12,1,1,S,1334,Streptococcus dysgalactiae
Onset,0.12,1,0,S,1318,Streptococcus parasanguinis
Onset,0.12,1,1,S1,1114965,Streptococcus parasanguinis FW213
Onset,0.12,1,1,S,113107,Streptococcus australis
Onset,7.51,61,0,K,3379134,Pseudomonadati
Onset,7.51,61,0,P,1224,Pseudomonadota
Onset,7.51,61,0,C,1236,Gammaproteobacteria
Onset,7.51,61,0,O,72274,Pseudomonadales
Onset,7.51,61,0,F,135621,Pseudomonadaceae
Onset,7.51,61,1,G,286,Pseudomonas
Onset,7.39,60,0,G1,136841,Pseudomonas aeruginosa group
Onset,7.39,60,39,S,287,Pseudomonas aeruginosa
Onset,0.86,7,0,S1,208964,Pseudomonas aeruginosa PAO1
Onset,0.86,7,7,S2,1147787,Pseudomonas aeruginosa PAO1H2O
Onset,0.86,7,7,S1,798130,Pseudomonas aeruginosa 39016
Onset,0.25,2,2,S1,1352354,Pseudomonas aeruginosa PAO581
Onset,0.25,2,2,S1,1280938,Pseudomonas aeruginosa B136-33
Onset,0.12,1,1,S1,1415629,Pseudomonas aeruginosa MTB-1
Onset,0.12,1,1,S1,1009714,Pseudomonas aeruginosa PAK
Onset,0.12,1,1,S1,1193501,Pseudomonas aeruginosa SJTD-1
Onset,4.43,36,0,R2,2759,Eukaryota
Onset,4.43,36,0,R3,33154,Opisthokonta
Onset,4.43,36,0,K,33208,Metazoa
Onset,4.43,36,0,K1,6072,Eumetazoa
Onset,4.43,36,0,K2,33213,Bilateria
Onset,4.43,36,0,K3,33511,Deuterostomia
Onset,4.43,36,0,P,7711,Chordata
Onset,4.43,36,0,P1,89593,Craniata
Onset,4.43,36,0,P2,7742,Vertebrata
Onset,4.43,36,0,P3,7776,Gnathostomata
Onset,4.43,36,0,P4,117570,Teleostomi
Onset,4.43,36,0,P5,117571,Euteleostomi
Onset,4.43,36,0,P6,8287,Sarcopterygii
Onset,4.43,36,0,P7,1338369,Dipnotetrapodomorpha
Onset,4.43,36,0,P8,32523,Tetrapoda
Onset,4.43,36,0,P9,32524,Amniota
Onset,4.43,36,0,C,40674,Mammalia
Onset,4.43,36,0,C1,32525,Theria
Onset,4.43,36,0,C2,9347,Eutheria
Onset,4.43,36,0,C3,1437010,Boreoeutheria
Onset,4.43,36,0,C4,314146,Euarchontoglires
Onset,4.43,36,0,O,9443,Primates
Onset,4.43,36,0,O1,376913,Haplorrhini
Onset,4.43,36,0,O2,314293,Simiiformes
